iter	Logloss
0	0.6347046072
1	0.5872089356
2	0.5459601064
3	0.5131437952
4	0.4939856932
5	0.4749188026
6	0.453917453
7	0.4364938367
8	0.4240486075
9	0.4124094134
10	0.4012164499
11	0.3902843218
12	0.3817122335
13	0.3717763766
14	0.3647443449
15	0.3566831431
16	0.350569119
17	0.3457040064
18	0.341078184
19	0.3365645523
20	0.3327731483
21	0.3295710138
22	0.3261952463
23	0.3223675705
24	0.3190170964
25	0.3150981767
26	0.3102977506
27	0.3075596527
28	0.3039522512
29	0.3012466295
30	0.2991367197
31	0.2965115389
32	0.2946480166
33	0.290526572
34	0.2888171369
35	0.2857750656
36	0.2838740276
37	0.2812220341
38	0.2769821544
39	0.2749289016
40	0.2723980046
41	0.2711028813
42	0.2701381542
43	0.2670639455
44	0.2651232797
45	0.2635755105
46	0.26185309
47	0.2605186638
48	0.2596624042
49	0.2572560443
50	0.2562629227
51	0.2546428944
52	0.2540854545
53	0.2526572587
54	0.2519091696
55	0.2505110938
56	0.2486012314
57	0.247434083
58	0.2465597945
59	0.2456034309
60	0.2442408763
61	0.243389872
62	0.243135823
63	0.2411295322
64	0.2405570317
65	0.2395355107
66	0.2380784039
67	0.2377209157
68	0.2371652524
69	0.2363147153
70	0.2356249619
71	0.2341323463
72	0.233213577
73	0.2324658779
74	0.2293173787
75	0.2274526501
76	0.2264122408
77	0.2257683808
78	0.2247218651
79	0.2243979201
80	0.2234778709
81	0.2230862329
82	0.2216452379
83	0.2213405466
84	0.2209375637
85	0.2198784493
86	0.2193137495
87	0.2190680459
88	0.2187010861
89	0.216479637
90	0.2161291414
91	0.2151113193
92	0.2142328251
93	0.2130249841
94	0.212287909
95	0.2118942984
96	0.2107913002
97	0.2098315118
98	0.2090619502
99	0.2081959829
100	0.2078281126
101	0.2073817551
102	0.2064513457
103	0.2058127548
104	0.2051476808
105	0.2044973223
106	0.2037033518
107	0.203445218
108	0.202542781
109	0.2023576774
110	0.2021620922
111	0.2017914678
112	0.2012618109
113	0.2006514999
114	0.2003091261
115	0.2001066665
116	0.1998514921
117	0.1991075211
118	0.1988330277
119	0.1985939462
120	0.198343937
121	0.1976364663
122	0.1971635476
123	0.1970249644
124	0.1968378198
125	0.1966085614
126	0.1962834697
127	0.1959703145
128	0.1957115386
129	0.1955648587
130	0.1944151176
131	0.194084186
132	0.1934121124
133	0.1921083703
134	0.1913007758
135	0.1901333959
136	0.1898567004
137	0.1897552739
138	0.1894678416
139	0.1893315519
140	0.1879923315
141	0.1876937477
142	0.1872676056
143	0.1870130973
144	0.1861971843
145	0.1857484465
146	0.1851713858
147	0.1849851197
148	0.1849201151
149	0.1843104837
150	0.1841543037
151	0.1840893628
152	0.183526823
153	0.1832150221
154	0.1831440828
155	0.1827865123
156	0.1819220433
157	0.1816681861
158	0.1815441615
159	0.1814356947
160	0.1811965944
161	0.1810747927
162	0.1807822781
163	0.1806010252
164	0.1802505294
165	0.1801232094
166	0.1800272958
167	0.1797572266
168	0.1796627893
169	0.1794733102
170	0.1790582695
171	0.1788425237
172	0.1786817844
173	0.1785182912
174	0.1775554831
175	0.1771904848
176	0.1769803484
177	0.1757928299
178	0.1751543757
179	0.174941916
180	0.1748119385
181	0.1745456173
182	0.1744500906
183	0.1739241738
184	0.1737568386
185	0.1735809395
186	0.1734286361
187	0.1732707048
188	0.1731477121
189	0.1727396045
190	0.1725158658
191	0.1723169999
192	0.1721351577
193	0.1718186358
194	0.1706674956
195	0.170299111
196	0.1702303316
197	0.1695359712
198	0.1694385007
199	0.1692279563
200	0.1688862233
201	0.1683877299
202	0.1681062631
203	0.1680466079
204	0.1675995863
205	0.1672109332
206	0.1668734521
207	0.1668038954
208	0.1665620094
209	0.1663254798
210	0.166122934
211	0.1657149652
212	0.1652885474
213	0.1649310729
214	0.1648498297
215	0.1647244682
216	0.1643888666
217	0.1642610195
218	0.1641026982
219	0.1639914405
220	0.1639597686
221	0.1637545476
222	0.1635475144
223	0.1632790769
224	0.1631063306
225	0.1622271796
226	0.1619338458
227	0.1617562223
228	0.1616031924
229	0.160670059
230	0.1605931334
231	0.1604969976
232	0.1599297898
233	0.1596265911
234	0.1593142371
235	0.1591901297
236	0.1591010783
237	0.1587667102
238	0.1586472546
239	0.1582238425
240	0.1580696204
241	0.1577442619
242	0.1575490816
243	0.1574612649
244	0.1573870475
245	0.157304092
246	0.157214754
247	0.1569767319
248	0.1568654459
249	0.1568330904
250	0.1568265141
251	0.1566602974
252	0.1562482354
253	0.156150715
254	0.1561167638
255	0.1558498623
256	0.1557081915
257	0.1555433016
258	0.1554334932
259	0.1552136536
260	0.1547471034
261	0.1546031546
262	0.1543752385
263	0.1542015445
264	0.1540263437
265	0.1538432887
266	0.1538225082
267	0.1534269093
268	0.1533021332
269	0.153099861
270	0.1529343932
271	0.152671025
272	0.1524950755
273	0.1524727353
274	0.1521087203
275	0.1520395626
276	0.1519307609
277	0.1517692048
278	0.1516321246
279	0.1515220772
280	0.1513763176
281	0.1512916068
282	0.1507306385
283	0.1506236938
284	0.1501967757
285	0.1500744137
286	0.149948724
287	0.1497163747
288	0.1497048018
289	0.1494945684
290	0.1489473105
291	0.1489273535
292	0.1487792275
293	0.1487640325
294	0.1484887127
295	0.1481513063
296	0.148027991
297	0.1479125238
298	0.1478196135
299	0.1476173844
