iter	Passed	Remaining
0	220	66062
1	288	42920
2	350	34735
3	409	30279
4	479	28308
5	541	26536
6	598	25066
7	660	24110
8	720	23306
9	780	22621
10	840	22094
11	901	21647
12	960	21194
13	1019	20835
14	1081	20540
15	1139	20232
16	1200	19979
17	1259	19734
18	1319	19510
19	1375	19256
20	1434	19056
21	1492	18856
22	1551	18686
23	1613	18559
24	1674	18424
25	1734	18276
26	1793	18132
27	1853	18009
28	1913	17880
29	1971	17741
30	2029	17614
31	2087	17482
32	2146	17363
33	2203	17241
34	2262	17128
35	2321	17027
36	2379	16915
37	2439	16818
38	2504	16757
39	2562	16654
40	2622	16567
41	2681	16469
42	2740	16380
43	2801	16296
44	2859	16204
45	2918	16113
46	2977	16026
47	3034	15928
48	3091	15835
49	3147	15737
50	3205	15651
51	3262	15558
52	3323	15490
53	3381	15405
54	3439	15321
55	3499	15248
56	3556	15161
57	3613	15076
58	3669	14988
59	3727	14909
60	3784	14827
61	3843	14754
62	3899	14669
63	3966	14626
64	4026	14557
65	4084	14482
66	4144	14411
67	4202	14338
68	4261	14268
69	4318	14189
70	4376	14116
71	4446	14079
72	4508	14020
73	4569	13954
74	4629	13889
75	4689	13821
76	4746	13747
77	4801	13666
78	4859	13594
79	4915	13518
80	4973	13446
81	5032	13380
82	5091	13312
83	5151	13246
84	5211	13181
85	5269	13113
86	5328	13045
87	5387	12979
88	5449	12919
89	5513	12864
90	5572	12798
91	5634	12739
92	5696	12678
93	5753	12609
94	5813	12545
95	5870	12475
96	5929	12409
97	5992	12351
98	6051	12286
99	6114	12228
100	6170	12157
101	6228	12090
102	6287	12025
103	6349	11966
104	6408	11902
105	6467	11837
106	6525	11770
107	6582	11701
108	6640	11636
109	6700	11573
110	6757	11506
111	6814	11437
112	6876	11379
113	6935	11316
114	6995	11253
115	7056	11193
116	7118	11133
117	7177	11070
118	7238	11009
119	7293	10940
120	7352	10876
121	7410	10811
122	7472	10753
123	7531	10690
124	7588	10624
125	7647	10561
126	7706	10498
127	7763	10432
128	7818	10364
129	7878	10303
130	7938	10241
131	7997	10179
132	8055	10115
133	8115	10053
134	8178	9995
135	8240	9937
136	8299	9874
137	8371	9827
138	8430	9764
139	8489	9702
140	8547	9638
141	8607	9577
142	8665	9514
143	8726	9453
144	8787	9393
145	8847	9332
146	8909	9273
147	8969	9211
148	9028	9149
149	9086	9086
150	9144	9023
151	9204	8962
152	9263	8900
153	9319	8835
154	9378	8773
155	9440	8714
156	9502	8654
157	9560	8592
158	9621	8532
159	9678	8468
160	9739	8408
161	9798	8347
162	9858	8286
163	9914	8221
164	9973	8160
165	10035	8101
166	10098	8042
167	10168	7989
168	10234	7933
169	10296	7873
170	10358	7814
171	10420	7754
172	10481	7694
173	10541	7633
174	10603	7573
175	10663	7512
176	10721	7450
177	10780	7388
178	10839	7326
179	10896	7264
180	10954	7202
181	11011	7139
182	11067	7076
183	11127	7015
184	11186	6953
185	11243	6890
186	11301	6829
187	11362	6769
188	11421	6707
189	11481	6647
190	11541	6586
191	11601	6526
192	11661	6465
193	11720	6403
194	11780	6343
195	11838	6281
196	11895	6219
197	11954	6158
198	12009	6095
199	12066	6033
200	12127	5973
201	12185	5911
202	12243	5850
203	12301	5789
204	12360	5728
205	12424	5669
206	12487	5610
207	12546	5549
208	12607	5489
209	12669	5429
210	12727	5368
211	12789	5308
212	12845	5246
213	12906	5186
214	12965	5125
215	13024	5065
216	13086	5005
217	13148	4945
218	13209	4885
219	13275	4827
220	13337	4767
221	13404	4709
222	13469	4650
223	13532	4591
224	13593	4531
225	13655	4471
226	13719	4412
227	13780	4351
228	13841	4291
229	13906	4232
230	13968	4172
231	14029	4112
232	14091	4052
233	14153	3992
234	14217	3932
235	14274	3870
236	14336	3811
237	14402	3751
238	14469	3693
239	14534	3633
240	14595	3573
241	14658	3513
242	14718	3452
243	14783	3392
244	14849	3333
245	14909	3272
246	14966	3211
247	15028	3151
248	15091	3090
249	15148	3029
250	15205	2968
251	15263	2907
252	15328	2847
253	15388	2786
254	15448	2726
255	15508	2665
256	15573	2605
257	15640	2546
258	15703	2485
259	15765	2425
260	15827	2365
261	15888	2304
262	15950	2243
263	16015	2183
264	16082	2124
265	16146	2063
266	16208	2003
267	16277	1943
268	16339	1883
269	16396	1821
270	16458	1761
271	16519	1700
272	16587	1640
273	16648	1579
274	16712	1519
275	16774	1458
276	16837	1398
277	16901	1337
278	16961	1276
279	17021	1215
280	17083	1155
281	17147	1094
282	17208	1033
283	17268	972
284	17330	912
285	17388	851
286	17452	790
287	17514	729
288	17572	668
289	17629	607
290	17693	547
291	17753	486
292	17816	425
293	17877	364
294	17945	304
295	18013	243
296	18078	182
297	18147	121
298	18210	60
299	18281	0
